id,gameTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,gameNotes,gameADate,gameSDate,gameBDate,gameCDate
464,Bravely Second,3DS,N,B,66,43,Beastiary and adventurer.,2016-04-28,2016-04-28,2016-06-12,
465,Mega Man Legacy Collection,PS4,N,N,,,,2016-06-14,,,
466,Need for Speed Rivals,PS4,N,C,,,,2016-06-14,2016-10-29,2016-10-29,2016-10-30
467,Rayman Legends,PS4,N,N,,,,2016-06-14,,,
468,Tales of Zestiria,PS4,N,I,,,,2016-06-14,2017-09-22,,
469,DLC Quest,Steam,N,B,,,,2016-06-29,2016-06-29,2016-07-03,
470,Mario Tennis,VC,N,C,92,13,,2016-07-20,2016-07-20,2016-07-20,2016-07-21
471,Mighty No. 9,Steam,N,N,,,,2016-09-19,,,
472,1001 Spikes,Steam,N,N,,,,2016-09-28,,,
473,6180 the moon,Steam,N,N,,,,2016-09-28,,,
474,Big Pharma,Steam,N,N,,,,2016-09-28,,,
475,CastleStorm,Steam,N,N,,,,2016-09-28,,,
476,Chaos Reborn,Steam,N,N,,,,2016-09-28,,,
477,Chariot,Steam,N,N,,,,2016-09-28,,,
478,Cloudbuilt,Steam,N,N,,,,2016-09-28,,,
479,Darksiders II: Deathinitive Edition,Steam,N,N,,,,2016-09-28,,,
480,DeadCore,Steam,N,N,,,,2016-09-28,,,
481,Downwell,Steam,N,N,,,,2016-09-28,,,
482,EDGE,Steam,N,N,,,,2016-09-28,,,
483,Electronic Super Joy,Steam,N,N,,,,2016-09-28,,,
484,Fairy Fencer F,Steam,N,N,,,,2016-09-28,,,
485,Frozen Cortex,Steam,N,N,,,,2016-09-28,,,
486,Frozen Synapse,Steam,N,N,,,,2016-09-28,,,
487,Full Bore,Steam,N,N,,,,2016-09-28,,,
488,Geometry Dash,Steam,N,N,,,,2016-09-28,,,
489,Gurumin: A Monstrous Adventure,Steam,N,N,,,,2016-09-28,,,
490,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Steam,N,N,,,,2016-09-28,,,
491,Half Minute Hero: The Second Coming,Steam,N,N,,,,2016-09-28,,,
492,Hell Yeah!,Steam,N,N,,,,2016-09-28,,,
493,Kairo,Steam,N,N,,,,2016-09-28,,,
494,Kingdom Rush,Steam,N,N,,,,2016-09-28,,,
495,Knights of Pen and Paper +1,Steam,N,N,,,,2016-09-28,,,
496,Lethal League,Steam,N,N,,,,2016-09-28,,,
497,Lux Delux,Steam,N,N,,,,2016-09-28,,,
498,Megabyte Punch,Steam,N,N,,,,2016-09-28,,,
499,Monaco,Steam,N,N,,,,2016-09-28,,,
500,Orcs Must Die!,Steam,N,N,,,,2016-09-28,,,
501,Out There Somewhere,Steam,N,N,,,,2016-09-28,,,
502,Polarity,Steam,N,N,,,,2016-09-28,,,
503,Qbeh-1: The Atlas Cube,Steam,N,N,,,,2016-09-28,,,
504,Reassembly,Steam,N,N,,,,2016-09-28,,,
505,RUSH,Steam,N,N,,,,2016-09-28,,,
506,Saints Row: The Third,Steam,N,N,,,,2016-09-28,,,
507,Sanctum 2,Steam,N,N,,,,2016-09-28,,,
508,Shattered Planet,Steam,N,N,,,,2016-09-28,,,
509,Sonic Adventure 2,Steam,N,N,,,,2016-09-28,,,
510,Sonic Adventure DX,Steam,N,C,,,,2016-09-28,2016-09-28,2016-10-14,2016-10-14
511,Star Wars: Knights of the Old Republic II,Steam,N,N,,,,2016-09-28,,,
512,Tabletop Simulator,Steam,N,I,,,,2016-09-28,,,
513,The Last Federation,Steam,N,N,,,,2016-09-28,,,
514,Thomas Was Alone,Steam,N,N,,,,2016-09-28,,,
515,Timberman,Steam,N,N,,,,2016-09-28,,,
516,Tiny Brains,Steam,N,N,,,,2016-09-28,,,
517,Toki Tori,Steam,N,N,,,,2016-09-28,,,
518,Toki Tori 2+,Steam,N,N,,,,2016-09-28,,,
519,TRI: Of Friendship and Madness,Steam,N,N,,,,2016-09-28,,,
520,Trine,Steam,N,N,,,,2016-09-28,,,
521,Worms Clan Wars,Steam,N,C,,,,2016-09-28,2017-11-30,2017-12-02,2017-12-02
522,Forza Horizon 3,PC,N,C,,,,2016-10-05,2016-10-05,2016-10-18,2017-02-26
523,Path of Exile,Steam,N,S,,,,2016-10-22,2016-10-22,,
524,Feed Mii,3DS,N,N,,,Second of two playthroughs.,2016-10-29,2016-10-29,,
525,Market Crashers,3DS,N,C,,,10B,2016-10-29,2016-10-29,2018-01-15,2018-04-29
526,Mii Trek,3DS,N,B,,,Second of two playthroughs.,2016-10-29,2016-10-29,2018-04-07,
527,Ninja Launcher,3DS,N,B,,,Wrapping up master run.,2016-10-29,2016-10-29,2018-02-09,
528,Slot Car Rivals,3DS,N,C,,,S99,2016-10-29,2016-10-29,2018-01-19,2018-04-13
529,Pokemon Blue,VCH,N,N,,,,2016-11-04,2018-06-03,2018-06-06,
530,Pokemon Red,VCH,N,B,19,16,,2016-11-04,2016-11-04,2016-11-13,
531,DiRT Rally,PS4,N,C,,,,2016-11-25,2016-11-25,2017-07-21,2017-07-21
532,PAC-MAN Championship Edition 2,PS4,N,S,,,,2016-11-25,2017-02-18,,
533,Pokemon Moon,3DS,N,B,134,59,1st streak: two EQ misses. 2nd streak: Aurora Veil science. 3rd streak: Bruxish.,2016-12-04,2016-12-04,2016-12-23,
534,Bit Blaster XL,Steam,N,N,,,,2016-12-31,,,
535,JumpJet Rex,Steam,N,N,,,,2016-12-31,,,
536,Kingdoms of Amalur: Reckoning,Steam,N,N,,,,2016-12-31,,,
537,Mark of the Ninja: Special Edition,Steam,N,N,,,,2016-12-31,,,
538,Tales of Symphonia,Steam,N,N,,,,2016-12-31,,,
539,Disgaea PC,Steam,N,N,,,,2017-02-02,,,
540,Fire Emblem: Heroes,Droid,N,C,,,,2017-02-06,2017-02-07,2017-02-09,2017-02-09
541,Final Fantasy XV,PS4,N,C,,,,2017-03-21,2017-03-21,2017-05-20,2017-06-10
542,Uncharted: The Nathan Drake Collection,PS4,N,N,,,,2017-04-15,,,
543,DiRT 4,PS4,N,C,,,,2017-06-10,2017-06-10,2017-06-24,2017-07-02
544,Burnstar,Steam,N,N,,,,2017-07-01,,,
545,Disgaea 5: Alliance of Vengeance,PS4,N,I,,,,2017-07-01,2017-08-29,,
546,Kingdom Hearts 358/2 Days,PS4,Y,N,,,,2017-07-01,,,
547,Kingdom Hearts Birth by Sleep FINAL MIX,PS4,N,B,,,,2017-07-01,2018-11-30,2018-12-14,
548,Kingdom Hearts FINAL MIX,PS4,Y,S,,,,2017-07-01,2018-12-17,,
549,Kingdom Hearts II FINAL MIX,PS4,Y,N,,,,2017-07-01,,,
550,Kingdom Hearts Re:Chain of Memories,PS4,Y,N,,,,2017-07-01,,,
551,Kingdom Hearts Re:coded,PS4,Y,N,,,,2017-07-01,,,
552,Ratchet & Clank,PS4,N,C,,,,2017-07-01,2017-08-29,2017-09-13,2017-09-16
553,Rivals of Aether,Steam,N,N,,,,2017-07-01,,,
554,Stardew Valley,Steam,N,N,,,,2017-07-01,,,
555,Trackmania Turbo,PS4,N,I,,,,2017-07-01,2017-08-22,,
556,Mario Kart 8 Deluxe,Switch,N,C,115,0,,2017-08-22,2017-08-22,2017-08-28,2018-01-24
557,Snipperclips,Switch,N,C,5,0,,2017-09-16,2017-09-16,2018-05-02,2018-05-10
5,RollerCoaster Tycoon,PC,N,B,,,,,,2013-07-10,
6,StarCraft,PC,N,C,,,,,,,2013-02-15
9,Ivan 'Ironman' Stewart's Super Off Road,NES,N,C,,,,,,,
10,Kirby's Adventure,NES,N,C,,,,,,,
139,Spy Hunter,PS2,N,C,,,,,,,
592,Gran Turismo Sport,PS4,N,B,23,0,Multiplayer trophies will be tough...,2018-06-13,2019-01-19,2019-05-14,
558,Super Mario Run,Droid,N,B,,,,2017-10-05,2017-10-05,2017-10-09,
559,Absolute Drift,Steam,N,C,,,,2017-10-09,2017-10-09,2017-10-10,2017-10-10
560,Animal Crossing,Switch,N,W,,,,,,,
561,Captain Toad: Treasure Tracker,Switch,N,W,,,,,,,
562,Chocobo's Mystery Dungeon: Every Buddy,Switch,N,W,,,,,,,
563,Final Fantasy Crystal Chronicles,Switch,N,W,,,,,,,
564,Fire Emblem: Three Houses,Switch,N,W,,,,,,,
565,Hyrule Warriors: Definitive Edition,Switch,N,W,,,,,,,
566,Katamari Damacy,Switch,N,W,,,,,,,
567,Killer Queen Black,Switch,N,W,,,,,,,
568,Kirby Star Allies,Switch,N,W,,,,,,,
569,Luigi's Mansion 3,Switch,N,W,,,,,,,
570,Monster Boy and the Cursed Kingdom,Switch,N,W,,,,,,,
571,New Super Mario Bros. U Deluxe,Switch,N,W,,,,,,,
572,Oninaki,Switch,N,W,,,,,,,
