id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
41,Sonic the Hedgehog: Triple Trouble,,GG,N,Beaten,,,,,,,
42,Super Columns,,GG,N,Infinite,,,,,,,
43,Need for Speed III: Hot Pursuit,,PC,N,Completed,,,3/25/1998,1/25/2019,1/26/2019,1/28/2019,
44,F-1 Race,,GBC,N,Completed,,,,,,5/27/2014,
45,Kirby Tilt 'n' Tumble!,,GBC,N,Completed,,,,,,,
46,Kirby's Dream Land,,GBC,N,Completed,,,,,,,
47,Kirby's Pinball Land,,GBC,N,Completed,,,,,,,
48,Marble Madness,,GBC,N,Completed,,,,,,,
49,Mario Golf,,GBC,N,Completed,,,,,,,
50,Pokemon Pinball,,GBC,N,Beaten,,,,,,,
51,Pokemon Red,,GBC,N,Beaten,,,,,,,
52,Pokemon Silver,,GBC,N,Completed,,,,,,,
53,Pokemon Trading Card Game,,GBC,N,Completed,,,,,,,
54,Pokemon Yellow,,GBC,N,Beaten,,,,,,,
55,Super Mario Land,,GBC,N,Completed,,,,,,,
56,Super Mario Land 2: Six Golden Coins,,GBC,N,Completed,,,,,,,
57,The Legend of Zelda: Link's Awakening,,GBC,N,Completed,,,,,,,
58,Crazy Taxi,,DC,N,Completed,,,,,,,
59,Gauntlet Legends,,DC,N,Completed,,,,,,,
60,Hydro Thunder,,DC,N,Completed,,,,,,,
61,Matt Hoffman's Pro BMX,,DC,N,Completed,,,,,,,
62,NFL 2K1,,DC,N,Beaten,,,,,,,
63,Power Stone,,DC,N,Completed,,,,,,,
64,Power Stone 2,,DC,N,Beaten,,,,,,,
65,Q*bert,,DC,N,Completed,,,,,,,
66,Sega Bass Fishing,,DC,N,Completed,,,,,,,
67,Sega GT,,DC,N,Beaten,,,,,,,
68,Sonic Adventure,,DC,N,Completed,,,,,,12/1/2012,
69,Virtua Tennis,,DC,N,Completed,,,,,,,
70,Advance Wars,,GBA,N,Completed,55,0,,,,,Playtime estimated...but it's a true 100%.
71,Advance Wars 2: Black Hole Rising,,GBA,N,Completed,45,0,,,,,Playtime estimated...but it's a true 100%.
